,,,DJF,MAM,JJA,SON,Annual
mask_boreal_forests_taiga,calc_albedo,$ERA$,0.2996022487319173,0.260579752025728,0.14698781599635652,0.19133132204258047,0.2033914188791702
mask_boreal_forests_taiga,calc_albedo,$MERRA$,0.47211178310035307,0.2966710745435109,0.11541460535262389,0.16374786758461368,0.20220227902229407
mask_boreal_forests_taiga,calc_albedo,$RASM_{CFSR}$,0.4385226498685061,0.32433060553764287,0.1781845562080444,0.304373847666244,0.2651718981118531
mask_boreal_forests_taiga,calc_albedo,$RASM_{ERA}$,0.4374759346609809,0.32022573619670697,0.1780637776208495,0.30227367683159106,0.26308362655559986
mask_boreal_forests_taiga,Swnet,$ERA$,18.049910995421776,129.78890791172347,178.9789110320513,46.95852062758632,93.15279554183147
mask_boreal_forests_taiga,Swnet,$MERRA$,14.13213476614698,121.24051720528071,204.79818356585258,56.79969524054421,99.02802183349745
mask_boreal_forests_taiga,Swnet,$RASM_{CFSR}$,19.117051728833353,114.79460043332578,169.91587201253574,46.63475476840456,87.30660298818381
mask_boreal_forests_taiga,Swnet,$RASM_{ERA}$,19.382418770727245,116.14893755996064,170.19912228828755,46.59486966534639,88.57143105465974
mask_boreal_forests_taiga,Lwnet,$ERA$,-32.739196195831894,-56.80416399238378,-58.388813793746024,-40.50943995900317,-47.07291379215433
mask_boreal_forests_taiga,Lwnet,$MERRA$,-28.906860337708853,-54.303446941542695,-65.93371925496668,-44.14810785385575,-48.315591864464544
mask_boreal_forests_taiga,Lwnet,$RASM_{CFSR}$,-39.52216599675637,-53.2905590383864,-55.62432913263406,-38.71388180723812,-46.71930858372011
mask_boreal_forests_taiga,Lwnet,$RASM_{ERA}$,-39.56851934340385,-53.885728859141025,-55.724610957108126,-38.54737467116154,-46.99487424404649
mask_boreal_forests_taiga,Latht,$ERA$,2.0847456271720963,24.724369490673173,67.81260804724558,17.408007870420864,27.950239668624526
mask_boreal_forests_taiga,Latht,$MERRA$,2.4631033032153873,33.9373683558445,87.85220518132058,19.737422880345974,35.9164551507664
mask_boreal_forests_taiga,Latht,$RASM_{CFSR}$,0.443281270493017,24.405053291596026,66.10910677835173,9.310939141158306,24.946228406592578
mask_boreal_forests_taiga,Latht,$RASM_{ERA}$,0.47205192079480746,24.908854398048277,66.13391710636552,9.411475773548124,25.41058615526159
mask_boreal_forests_taiga,Senht,$ERA$,-13.76398882345385,29.016189352943154,34.23281964967669,-2.4635929209790284,11.668859751156651
mask_boreal_forests_taiga,Senht,$MERRA$,-11.78136873274397,20.57836988436484,40.64143707727411,-1.2833803514554296,11.96781912307597
mask_boreal_forests_taiga,Senht,$RASM_{CFSR}$,-17.717506557916842,28.488474967666622,45.19954353956695,-0.824964489869801,13.68481439040998
mask_boreal_forests_taiga,Senht,$RASM_{ERA}$,-17.500441345473842,28.757962871483418,45.390749232276946,-0.8425551682768575,14.16429937572634
mask_boreal_forests_taiga,bowen_ratio,$ERA$,2.8184852687331663,1.204798246263523,0.5183899696598645,-0.21682566127521635,0.4203424249155808
mask_boreal_forests_taiga,bowen_ratio,$MERRA$,-48.056494733785286,0.5975070125513547,0.5145685555112522,-0.05849079833455651,0.36747484286935517
mask_boreal_forests_taiga,bowen_ratio,$RASM_{CFSR}$,-8.998532666272274,1.1375503653259447,0.7559171300296439,-1.0026931052328483,0.5309183615356946
mask_boreal_forests_taiga,bowen_ratio,$RASM_{ERA}$,14.274650230969847,1.1297521709527925,0.7558483373638271,-0.43915141424411736,0.5422296595842497
mask_boreal_forests_taiga,Tair,$ERA$,-20.356488701936776,-2.88349902056228,14.070568765527467,-2.3617314003722463,-2.8601787507975414
mask_boreal_forests_taiga,Tair,$MERRA$,-21.585931417323746,-3.999108731505501,14.54564024997089,-3.3630136579533123,-3.576553308160719
mask_boreal_forests_taiga,Tair,$RASM_{CFSR}$,-23.282713061776175,-4.457316230737712,13.122856768216622,-7.152816901255056,-5.437225293108244
mask_boreal_forests_taiga,Tair,$RASM_{ERA}$,-23.386304592250678,-4.28137908511479,13.297691287573231,-6.901508684322915,-5.214531454656903
mask_boreal_forests_taiga,Precipitation,$ERA$,0.9627910584187912,1.3129125550892882,2.6075508082600627,1.8452653006415785,1.6841910892334657
mask_boreal_forests_taiga,Precipitation,$MERRA$,0.9394431370592459,1.327349995983094,2.360229842503162,1.7438602720504897,1.5946686514864628
mask_boreal_forests_taiga,Precipitation,$RASM_{CFSR}$,0.98179942380697,1.4415621110222858,2.3625613226380464,1.6288107363569335,1.6046778739024083
mask_boreal_forests_taiga,Precipitation,$RASM_{ERA}$,0.9701188457060906,1.441519718484638,2.3897285289065358,1.641484017908863,1.6141385767212129
mask_boreal_forests_taiga,Evap,$ERA$,0.06454229465290116,0.8211311843979225,2.3453626275316455,0.5930082738088257,0.9540562701953661
mask_boreal_forests_taiga,Evap,$MERRA$,0.07635306382523639,1.1443732592961364,3.091770858955956,0.6862607315670151,1.246894358532811
mask_boreal_forests_taiga,Evap,$RASM_{CFSR}$,0.013865826240832681,0.8188148052361967,2.323286285015181,0.3175487313954703,0.864145777365433
mask_boreal_forests_taiga,Evap,$RASM_{ERA}$,0.014734057694187744,0.8373899409712943,2.324469464273316,0.32102624800535506,0.880631559023201
mask_boreal_forests_taiga,runoff_ratio,$ERA$,0.5184633943770777,0.9272354384101936,0.3343645486826042,0.576610417344659,0.5259126876439718
mask_boreal_forests_taiga,runoff_ratio,$MERRA$,0.05786970198161348,0.4861128661542101,0.11015529351550618,0.07481259236410273,0.16771404968307996
